,Strategy,Simulation,Iterations,Samples,Area,Error
0,random,0.0,1500.0,20000.0,1.4970015000000003,-0.01201391999999979
1,random,1.0,1500.0,20000.0,1.5163200000000001,0.007304580000000005
2,random,2.0,1500.0,20000.0,1.5042915000000003,-0.0047239199999997705
3,random,3.0,1500.0,20000.0,1.5462090000000002,0.03719358000000006
4,random,4.0,1500.0,20000.0,1.5097590000000003,0.000743580000000188
5,random,5.0,1500.0,20000.0,1.4915340000000001,-0.01748141999999997
6,random,6.0,1500.0,20000.0,1.5068430000000002,-0.0021724199999999527
7,random,7.0,1500.0,20000.0,1.527255,0.018239579999999922
8,random,8.0,1500.0,20000.0,1.484973,-0.02404242000000001
9,random,9.0,1500.0,20000.0,1.4765895000000002,-0.032425919999999886
10,random,10.0,1500.0,20000.0,1.5396480000000001,0.03063258000000002
11,random,11.0,1500.0,20000.0,1.5305355000000003,0.021520080000000164
12,random,12.0,1500.0,20000.0,1.501011,-0.008004420000000012
13,random,13.0,1500.0,20000.0,1.5119460000000002,0.002930580000000127
14,random,14.0,1500.0,20000.0,1.5454800000000002,0.03646458000000008
15,random,15.0,1500.0,20000.0,1.5370965000000003,0.028081080000000203
16,random,16.0,1500.0,20000.0,1.5126750000000002,0.0036595800000001066
17,random,17.0,1500.0,20000.0,1.5123105000000001,0.0032950800000000058
18,random,18.0,1500.0,20000.0,1.5046560000000002,-0.004359419999999892
19,random,19.0,1500.0,20000.0,1.5152265000000003,0.0062110800000001465
20,random,20.0,1500.0,20000.0,1.4948145000000002,-0.01420091999999995
21,random,21.0,1500.0,20000.0,1.476954,-0.03206142000000001
22,random,22.0,1500.0,20000.0,1.5031980000000003,-0.005817419999999851
23,random,23.0,1500.0,20000.0,1.5243390000000003,0.015323580000000225
24,random,24.0,1500.0,20000.0,1.4940855000000002,-0.01492991999999993
25,random,25.0,1500.0,20000.0,1.4787765000000002,-0.030238919999999947
26,random,26.0,1500.0,20000.0,1.5148620000000004,0.005846580000000268
27,random,27.0,1500.0,20000.0,1.5042915000000003,-0.0047239199999997705
28,random,28.0,1500.0,20000.0,1.5061140000000002,-0.0029014199999999324
29,random,29.0,1500.0,20000.0,1.5072075,-0.001807920000000074
30,random,30.0,1500.0,20000.0,1.4663835,-0.042631920000000045
31,random,31.0,1500.0,20000.0,1.5072075,-0.001807920000000074
32,random,32.0,1500.0,20000.0,1.4838795000000002,-0.025135919999999867
33,random,33.0,1500.0,20000.0,1.4918985000000002,-0.01711691999999987
34,random,34.0,1500.0,20000.0,1.5134040000000002,0.004388580000000086
35,random,35.0,1500.0,20000.0,1.4897115000000003,-0.019303919999999808
36,random,36.0,1500.0,20000.0,1.5425640000000003,0.03354858000000016
37,random,37.0,1500.0,20000.0,1.5185070000000003,0.009491580000000166
38,random,38.0,1500.0,20000.0,1.493721,-0.01529442000000003
39,random,39.0,1500.0,20000.0,1.5287130000000002,0.019697580000000103
40,random,40.0,1500.0,20000.0,1.5298065000000003,0.020791080000000184
41,random,41.0,1500.0,20000.0,1.4970015000000003,-0.01201391999999979
42,random,42.0,1500.0,20000.0,1.5210585000000003,0.012043080000000206
43,random,43.0,1500.0,20000.0,1.517778,0.008762579999999964
44,random,44.0,1500.0,20000.0,1.5203295000000003,0.011314080000000226
45,random,45.0,1500.0,20000.0,1.5188715000000002,0.009856080000000045
46,random,46.0,1500.0,20000.0,1.5316290000000004,0.022613580000000244
47,random,47.0,1500.0,20000.0,1.5079365000000002,-0.0010789199999998722
48,random,48.0,1500.0,20000.0,1.5290775,0.020062079999999982
49,random,49.0,1500.0,20000.0,1.4918985000000002,-0.01711691999999987
50,random,50.0,1500.0,20000.0,1.5159555000000002,0.006940080000000126
51,random,51.0,1500.0,20000.0,1.493721,-0.01529442000000003
52,random,52.0,1500.0,20000.0,1.4911695000000003,-0.01784591999999985
53,random,53.0,1500.0,20000.0,1.4995530000000001,-0.009462419999999971
54,random,54.0,1500.0,20000.0,1.5046560000000002,-0.004359419999999892
55,random,55.0,1500.0,20000.0,1.510488,0.0014725799999999456
56,random,56.0,1500.0,20000.0,1.4991885000000003,-0.00982691999999985
57,random,57.0,1500.0,20000.0,1.4857020000000003,-0.023313419999999807
58,random,58.0,1500.0,20000.0,1.5053850000000002,-0.003630419999999912
59,random,59.0,1500.0,20000.0,1.5108525000000002,0.0018370800000000465
60,random,60.0,1500.0,20000.0,1.5108525000000002,0.0018370800000000465
61,random,61.0,1500.0,20000.0,1.4645610000000002,-0.044454419999999883
62,random,62.0,1500.0,20000.0,1.532358,0.02334258
63,random,63.0,1500.0,20000.0,1.5101235000000002,0.0011080800000000668
64,random,64.0,1500.0,20000.0,1.5199650000000002,0.010949580000000125
65,random,65.0,1500.0,20000.0,1.5407415000000002,0.0317260800000001
66,random,66.0,1500.0,20000.0,1.5228810000000002,0.013865580000000044
67,random,67.0,1500.0,20000.0,1.5086655000000002,-0.00034991999999989254
68,random,68.0,1500.0,20000.0,1.5166845000000002,0.007669080000000106
69,random,69.0,1500.0,20000.0,1.5093945000000002,0.0003790800000000871
70,random,70.0,1500.0,20000.0,1.5247035000000002,0.015688080000000104
71,random,71.0,1500.0,20000.0,1.4904405,-0.01857492000000005
72,random,72.0,1500.0,20000.0,1.455813,-0.053202420000000084
73,random,73.0,1500.0,20000.0,1.5294420000000002,0.020426580000000083
74,random,74.0,1500.0,20000.0,1.4897115000000003,-0.019303919999999808
75,random,75.0,1500.0,20000.0,1.5287130000000002,0.019697580000000103
76,random,76.0,1500.0,20000.0,1.5316290000000004,0.022613580000000244
77,random,77.0,1500.0,20000.0,1.5290775,0.020062079999999982
78,random,78.0,1500.0,20000.0,1.4973660000000002,-0.01164941999999991
79,random,79.0,1500.0,20000.0,1.5028335000000002,-0.006181919999999952
80,random,80.0,1500.0,20000.0,1.5232455000000003,0.014230080000000145
81,random,81.0,1500.0,20000.0,1.5083010000000001,-0.0007144199999999934
82,random,82.0,1500.0,20000.0,1.5031980000000003,-0.005817419999999851
83,random,83.0,1500.0,20000.0,1.460916,-0.048099420000000004
84,random,84.0,1500.0,20000.0,1.5108525000000002,0.0018370800000000465
85,random,85.0,1500.0,20000.0,1.510488,0.0014725799999999456
86,random,86.0,1500.0,20000.0,1.5407415000000002,0.0317260800000001
87,random,87.0,1500.0,20000.0,1.5035625000000001,-0.005452919999999972
88,random,88.0,1500.0,20000.0,1.50903,1.457999999998627e-05
89,random,89.0,1500.0,20000.0,1.5312645,0.02224907999999992
90,random,90.0,1500.0,20000.0,1.5137685000000003,0.004753080000000187
91,random,91.0,1500.0,20000.0,1.5283485,0.019333080000000002
92,random,92.0,1500.0,20000.0,1.5196005000000001,0.010585080000000024
93,random,93.0,1500.0,20000.0,1.4853375000000002,-0.023677919999999908
94,random,94.0,1500.0,20000.0,1.5174135000000002,0.008398080000000085
95,random,95.0,1500.0,20000.0,1.4926275,-0.01638792000000011
96,random,96.0,1500.0,20000.0,1.5024690000000003,-0.006546419999999831
97,random,97.0,1500.0,20000.0,1.4984595000000003,-0.01055591999999983
98,random,98.0,1500.0,20000.0,1.5454800000000002,0.03646458000000008
99,random,99.0,1500.0,20000.0,1.4864310000000003,-0.022584419999999827
0,LHS,0.0,1500.0,20000.0,1.5214230000000002,0.014241014999999857
1,LHS,1.0,1500.0,20000.0,1.4988240000000002,-0.008357985000000179
