,Strategy,Simulation,Iterations,Samples,Area,Error
0,random,0.0,20.0,200.0,2.15055,0.6370312499999999
1,random,1.0,20.0,200.0,1.49445,-0.019068749999999968
2,random,2.0,20.0,200.0,1.8954000000000002,0.38188125000000017
3,random,3.0,20.0,200.0,2.07765,0.5641312500000002
4,random,4.0,20.0,200.0,1.8225000000000002,0.3089812500000002
5,random,5.0,20.0,200.0,1.6402500000000002,0.12673125000000018
6,random,6.0,20.0,200.0,1.4215500000000003,-0.09196874999999971
7,random,7.0,20.0,200.0,1.7860500000000001,0.2725312500000001
8,random,8.0,20.0,200.0,1.7496000000000003,0.23608125000000024
9,random,9.0,20.0,200.0,1.7131500000000002,0.19963125000000015
10,random,10.0,20.0,200.0,1.7131500000000002,0.19963125000000015
11,random,11.0,20.0,200.0,2.0412000000000003,0.5276812500000003
12,random,12.0,20.0,200.0,1.6402500000000002,0.12673125000000018
13,random,13.0,20.0,200.0,1.6767000000000003,0.16318125000000028
14,random,14.0,20.0,200.0,1.5309000000000001,0.017381250000000126
15,random,15.0,20.0,200.0,1.7131500000000002,0.19963125000000015
16,random,16.0,20.0,200.0,1.8225000000000002,0.3089812500000002
17,random,17.0,20.0,200.0,1.5673500000000002,0.05383125000000022
18,random,18.0,20.0,200.0,1.6402500000000002,0.12673125000000018
19,random,19.0,20.0,200.0,1.8589500000000003,0.3454312500000003
20,random,20.0,20.0,200.0,1.7131500000000002,0.19963125000000015
21,random,21.0,20.0,200.0,1.5673500000000002,0.05383125000000022
22,random,22.0,20.0,200.0,1.7496000000000003,0.23608125000000024
23,random,23.0,20.0,200.0,1.5309000000000001,0.017381250000000126
24,random,24.0,20.0,200.0,1.9318500000000003,0.41833125000000027
25,random,25.0,20.0,200.0,1.7860500000000001,0.2725312500000001
26,random,26.0,20.0,200.0,1.7131500000000002,0.19963125000000015
27,random,27.0,20.0,200.0,1.3851000000000002,-0.1284187499999998
28,random,28.0,20.0,200.0,1.8225000000000002,0.3089812500000002
29,random,29.0,20.0,200.0,1.6402500000000002,0.12673125000000018
30,random,30.0,20.0,200.0,2.07765,0.5641312500000002
31,random,31.0,20.0,200.0,1.8954000000000002,0.38188125000000017
32,random,32.0,20.0,200.0,1.4215500000000003,-0.09196874999999971
33,random,33.0,20.0,200.0,2.0047500000000005,0.49123125000000045
34,random,34.0,20.0,200.0,1.4580000000000002,-0.05551874999999984
35,random,35.0,20.0,200.0,1.6767000000000003,0.16318125000000028
36,random,36.0,20.0,200.0,1.6767000000000003,0.16318125000000028
37,random,37.0,20.0,200.0,1.7131500000000002,0.19963125000000015
38,random,38.0,20.0,200.0,1.4215500000000003,-0.09196874999999971
39,random,39.0,20.0,200.0,1.5309000000000001,0.017381250000000126
40,random,0.0,20.0,800.0,1.6493625000000003,0.13584375000000026
41,random,1.0,20.0,800.0,1.7222625,0.20874375
42,random,2.0,20.0,800.0,1.5764625,0.06294375000000008
43,random,3.0,20.0,800.0,1.7587125000000001,0.2451937500000001
44,random,4.0,20.0,800.0,1.549125,0.03560625000000006
45,random,5.0,20.0,800.0,1.6311375000000001,0.1176187500000001
46,random,6.0,20.0,800.0,1.7222625,0.20874375
47,random,7.0,20.0,800.0,1.5946875000000003,0.08116875000000023
48,random,8.0,20.0,800.0,1.7587125000000001,0.2451937500000001
49,random,9.0,20.0,800.0,1.7678250000000002,0.2543062500000002
50,random,10.0,20.0,800.0,1.6767000000000003,0.16318125000000028
51,random,11.0,20.0,800.0,1.7496000000000003,0.23608125000000024
52,random,12.0,20.0,800.0,1.8407250000000002,0.32720625000000014
53,random,13.0,20.0,800.0,1.8954000000000002,0.38188125000000017
54,random,14.0,20.0,800.0,1.731375,0.21785625000000008
55,random,15.0,20.0,800.0,1.7040375000000003,0.1905187500000003
56,random,16.0,20.0,800.0,1.5855750000000002,0.07205625000000015
57,random,17.0,20.0,800.0,1.5582375000000002,0.04471875000000014
58,random,18.0,20.0,800.0,1.731375,0.21785625000000008
59,random,19.0,20.0,800.0,1.7951625000000002,0.2816437500000002
60,random,20.0,20.0,800.0,1.8771750000000003,0.36365625000000024
61,random,21.0,20.0,800.0,1.8589500000000003,0.3454312500000003
62,random,22.0,20.0,800.0,1.8133875000000002,0.29986875000000013
63,random,23.0,20.0,800.0,1.6038000000000001,0.09028125000000009
64,random,24.0,20.0,800.0,1.8133875000000002,0.29986875000000013
65,random,25.0,20.0,800.0,1.9136250000000004,0.40010625000000033
66,random,26.0,20.0,800.0,1.6402500000000002,0.12673125000000018
67,random,27.0,20.0,800.0,2.0867625000000003,0.5732437500000003
68,random,28.0,20.0,800.0,1.8954000000000002,0.38188125000000017
69,random,29.0,20.0,800.0,1.731375,0.21785625000000008
70,random,30.0,20.0,800.0,1.6858125000000004,0.17229375000000036
71,random,31.0,20.0,800.0,1.7222625,0.20874375
72,random,32.0,20.0,800.0,1.6129125000000002,0.09939375000000017
73,random,33.0,20.0,800.0,1.6220250000000003,0.10850625000000025
74,random,34.0,20.0,800.0,1.5400125000000002,0.026493750000000205
75,random,35.0,20.0,800.0,1.5855750000000002,0.07205625000000015
76,random,36.0,20.0,800.0,1.8042750000000003,0.29075625000000027
77,random,37.0,20.0,800.0,1.7769375000000003,0.26341875000000026
78,random,38.0,20.0,800.0,1.8225000000000002,0.3089812500000002
79,random,39.0,20.0,800.0,1.9774125000000002,0.4638937500000002
80,random,0.0,20.0,1800.0,1.6686000000000003,0.15508125000000028
81,random,1.0,20.0,1800.0,1.8468000000000004,0.3332812500000004
82,random,2.0,20.0,1800.0,1.7212500000000002,0.20773125000000014
83,random,3.0,20.0,1800.0,1.6807500000000004,0.1672312500000004
84,random,4.0,20.0,1800.0,1.6807500000000004,0.1672312500000004
85,random,5.0,20.0,1800.0,1.7536500000000002,0.24013125000000013
86,random,6.0,20.0,1800.0,1.7698500000000004,0.25633125000000034
87,random,7.0,20.0,1800.0,1.7172,0.20368125000000004
88,random,8.0,20.0,1800.0,1.6726500000000002,0.15913125000000017
89,random,9.0,20.0,1800.0,1.7536500000000002,0.24013125000000013
90,random,10.0,20.0,1800.0,1.7091000000000003,0.19558125000000026
91,random,11.0,20.0,1800.0,1.6969500000000002,0.18343125000000016
92,random,12.0,20.0,1800.0,1.7820000000000003,0.2684812500000002
93,random,13.0,20.0,1800.0,1.6848,0.17128125000000005
94,random,14.0,20.0,1800.0,1.6605,0.14698125000000006
95,random,15.0,20.0,1800.0,1.7172,0.20368125000000004
96,random,16.0,20.0,1800.0,1.7982000000000002,0.2846812500000002
97,random,17.0,20.0,1800.0,1.5754500000000002,0.061931250000000215
98,random,18.0,20.0,1800.0,1.6929000000000003,0.17938125000000027
99,random,19.0,20.0,1800.0,1.6767000000000003,0.16318125000000028
100,random,20.0,20.0,1800.0,1.6726500000000002,0.15913125000000017
101,random,21.0,20.0,1800.0,1.7739000000000003,0.26038125000000023
102,random,22.0,20.0,1800.0,1.7293500000000002,0.21583125000000014
103,random,23.0,20.0,1800.0,1.7941500000000004,0.28063125000000033
104,random,24.0,20.0,1800.0,1.6848,0.17128125000000005
105,random,25.0,20.0,1800.0,1.8265500000000001,0.3130312500000001
106,random,26.0,20.0,1800.0,1.7050500000000002,0.19153125000000015
107,random,27.0,20.0,1800.0,1.8144000000000002,0.3008812500000002
108,random,28.0,20.0,1800.0,1.7536500000000002,0.24013125000000013
109,random,29.0,20.0,1800.0,1.7658000000000003,0.25228125000000023
110,random,30.0,20.0,1800.0,1.6645500000000002,0.15103125000000017
111,random,31.0,20.0,1800.0,1.6929000000000003,0.17938125000000027
112,random,32.0,20.0,1800.0,1.6564500000000002,0.14293125000000018
113,random,33.0,20.0,1800.0,1.863,0.34948124999999997
114,random,34.0,20.0,1800.0,1.7577000000000003,0.24418125000000024
115,random,35.0,20.0,1800.0,1.8144000000000002,0.3008812500000002
116,random,36.0,20.0,1800.0,1.8144000000000002,0.3008812500000002
117,random,37.0,20.0,1800.0,1.7496000000000003,0.23608125000000024
118,random,38.0,20.0,1800.0,1.7172,0.20368125000000004
119,random,39.0,20.0,1800.0,1.8184500000000001,0.3049312500000001
120,random,0.0,20.0,3200.0,1.8133875000000002,0.29986875000000013
121,random,1.0,20.0,3200.0,1.7063156250000002,0.1927968750000002
122,random,2.0,20.0,3200.0,1.7496000000000003,0.23608125000000024
123,random,3.0,20.0,3200.0,1.8019968750000002,0.28847812500000014
124,random,4.0,20.0,3200.0,1.8680625000000002,0.35454375000000016
125,random,5.0,20.0,3200.0,1.6767000000000003,0.16318125000000028
126,random,6.0,20.0,3200.0,1.7951625000000002,0.2816437500000002
127,random,7.0,20.0,3200.0,1.7222625,0.20874375
128,random,8.0,20.0,3200.0,1.7359312500000001,0.22241250000000012
129,random,9.0,20.0,3200.0,1.6220250000000003,0.10850625000000025
130,random,10.0,20.0,3200.0,1.8156656250000003,0.30214687500000026
131,random,11.0,20.0,3200.0,1.7063156250000002,0.1927968750000002
132,random,12.0,20.0,3200.0,1.7860500000000001,0.2725312500000001
133,random,13.0,20.0,3200.0,1.7723812500000002,0.2588625000000002
134,random,14.0,20.0,3200.0,1.6972031250000001,0.18368437500000012
135,random,15.0,20.0,3200.0,1.6903687500000002,0.17685000000000017
136,random,16.0,20.0,3200.0,1.7518781250000004,0.23835937500000037
137,random,17.0,20.0,3200.0,1.7268187500000003,0.21330000000000027
138,random,18.0,20.0,3200.0,1.7564343750000002,0.2429156250000002
139,random,19.0,20.0,3200.0,1.6858125000000004,0.17229375000000036
140,random,20.0,20.0,3200.0,1.6994812500000003,0.18596250000000025
141,random,21.0,20.0,3200.0,1.7336531250000002,0.22013437500000022
142,random,22.0,20.0,3200.0,1.7518781250000004,0.23835937500000037
143,random,23.0,20.0,3200.0,1.665309375,0.15179062500000007
144,random,24.0,20.0,3200.0,1.7906062500000004,0.2770875000000004
145,random,25.0,20.0,3200.0,1.8475593750000001,0.3340406250000001
